C1_315081400H_000383,每日08:30-17:00,,,特色館區
C1_315081400H_000385,每日,,,戶外運動
C1_315081400H_000393,每日,,,公園綠地
C1_315081400H_000469,每日,,,戶外運動
C1_315081400H_000474,每日08:00-17:00,,,特色館區
C1_315081400H_000480,每日09:00-17:00,,,特色館區
C1_315081400H_000482,每日,,,戶外運動
C1_315081400H_000484,每日,,,戶外運動
C1_315081400H_000486,每日,,,戶外運動
C1_315081400H_000488,每日,,,戶外運動
C1_315081400H_000494,每日,,,特色館區
C1_315081400H_000496,每日,,,公園綠地
C1_315081400H_000498,每日,,,歷史古蹟
C1_315081400H_000504,每日08:30-17:00,,,歷史古蹟
C1_315081400H_000506,每日,,,自然之旅
C1_315081400H_000508,每日,,,休閒娛樂
C1_315081400H_000510,每日,,,休閒娛樂
C1_315081400H_000563,每日,,,公園綠地
C1_315081400H_000566,每日,,,戶外運動
C1_315081400H_000568,每日,,,休閒娛樂
C1_315081400H_001022,每日,,,休閒娛樂
C1_315081400H_001041,每日08:30-18:00,,,特色館區 
C1_315081400H_001080,每日08:00-17:30,,,休閒娛樂
C1_315081400H_001994,每日,,,戶外運動
C1_315081400H_002347,每日08:30-17:30,,,教育資源
C1_315081400H_002349,每日08:30-17:30,,,休閒娛樂
C1_315081400H_002364,每日08:30-17:30,,,休閒娛樂
C1_315081400H_002381,,,,自然之旅 
C1_315081400H_002383,每日08:30-17:30,,,歷史古蹟
C1_315081400H_002385,每日08:30-17:30,,,休閒娛樂
C1_315081500H_000009,每日08:30-17:30,,,休閒娛樂
C1_315081500H_000013,每日,,,自然之旅 
C1_315081500H_000014,每日,,,休閒娛樂
C1_315081500H_000015,每日9:00-18:00,,,休閒娛樂
C1_315081500H_000016,每日9:00-18:00,,,休閒娛樂
C1_315081500H_000020,每日,,,自然之旅
C1_315081500H_000021,每日,,,自然之旅
